Gene name	Chromosome/scaffold name	Gene stable ID
MT-TF	MT	ENSG00000210049
MT-RNR1	MT	ENSG00000211459
MT-TV	MT	ENSG00000210077
MT-RNR2	MT	ENSG00000210082
MT-TL1	MT	ENSG00000209082
MT-ND1	MT	ENSG00000198888
MT-TI	MT	ENSG00000210100
MT-TQ	MT	ENSG00000210107
MT-TM	MT	ENSG00000210112
MT-ND2	MT	ENSG00000198763
MT-TW	MT	ENSG00000210117
MT-TA	MT	ENSG00000210127
MT-TN	MT	ENSG00000210135
MT-TC	MT	ENSG00000210140
MT-TY	MT	ENSG00000210144
MT-CO1	MT	ENSG00000198804
MT-TS1	MT	ENSG00000210151
MT-TD	MT	ENSG00000210154
MT-CO2	MT	ENSG00000198712
MT-TK	MT	ENSG00000210156
MT-ATP8	MT	ENSG00000228253
MT-ATP6	MT	ENSG00000198899
MT-CO3	MT	ENSG00000198938
MT-TG	MT	ENSG00000210164
MT-ND3	MT	ENSG00000198840
MT-TR	MT	ENSG00000210174
MT-ND4L	MT	ENSG00000212907
MT-ND4	MT	ENSG00000198886
MT-TH	MT	ENSG00000210176
MT-TS2	MT	ENSG00000210184
MT-TL2	MT	ENSG00000210191
MT-ND5	MT	ENSG00000198786
MT-ND6	MT	ENSG00000198695
MT-TE	MT	ENSG00000210194
MT-CYB	MT	ENSG00000198727
MT-TT	MT	ENSG00000210195
MT-TP	MT	ENSG00000210196
	GL000009.2	ENSG00000278704
	GL000213.1	ENSG00000277630
	GL000220.1	ENSG00000276197
Y_RNA	GL000195.1	ENSG00000277428
	KI270711.1	ENSG00000271254
	KI270734.1	ENSG00000278573
U6	KI270744.1	ENSG00000278625
5S_rRNA	KI270442.1	ENSG00000278457
U1	KI270750.1	ENSG00000277374
Y_RNA	GL000205.2	ENSG00000276932
	GL000194.1	ENSG00000277400
	KI270731.1	ENSG00000278633
	GL000219.1	ENSG00000273748
	KI270734.1	ENSG00000277196
	KI270731.1	ENSG00000278066
MAFIP	GL000194.1	ENSG00000274847
RNA5-8SN5	GL000220.1	ENSG00000274917
	GL000195.1	ENSG00000276256
5_8S_rRNA	KI270442.1	ENSG00000278294
5_8S_rRNA	GL000220.1	ENSG00000273730
	GL000220.1	ENSG00000273937
U6	GL000213.1	ENSG00000278793
	KI270734.1	ENSG00000278817
	KI270734.1	ENSG00000276017
U1	KI270713.1	ENSG00000275987
	KI270721.1	ENSG00000275661
	KI270721.1	ENSG00000276351
	KI270713.1	ENSG00000268674
	KI270713.1	ENSG00000277475
	KI270721.1	ENSG00000276345
U1	KI270713.1	ENSG00000275405
	KI270726.1	ENSG00000275063
	KI270726.1	ENSG00000277856
	KI270728.1	ENSG00000274175
	KI270721.1	ENSG00000273532
	GL000218.1	ENSG00000278384
	KI270728.1	ENSG00000273554
	KI270728.1	ENSG00000275869
	KI270728.1	ENSG00000278510
